Date,Timestamp,Adj Close,date,Negative,Nuetral,Positive,sentiment_of_the_period,sentiment_of_the_day
2021-04-06 05:25:00,1617686700000,58882.32,2021-04-06 05:25:00,0.0,2.0,0.0,Nuetral,Nuetral
2021-04-06 05:30:00,1617687000000,58847.99,2021-04-06 05:30:00,0.0,1.0,0.0,Nuetral,Nuetral
2021-04-06 05:35:00,1617687300000,58964.0,2021-04-06 05:35:00,1.0,0.0,0.0,Negative,Negative
2021-04-06 05:40:00,1617687600000,58954.63,2021-04-06 05:40:00,0.0,3.0,2.0,Nuetral,Nuetral
2021-04-06 05:45:00,1617687900000,58940.44,2021-04-06 05:45:00,0.0,2.0,1.0,Nuetral,Nuetral
2021-04-06 05:50:00,1617688200000,58888.38,2021-04-06 05:50:00,0.0,3.0,3.0,Nuetral,Nuetral
2021-04-06 05:55:00,1617688500000,58851.76,2021-04-06 05:55:00,0.0,1.0,1.0,Nuetral,Nuetral
2021-04-06 06:00:00,1617688800000,58754.51,2021-04-06 06:00:00,1.0,0.0,1.0,Negative,Negative
2021-04-06 06:05:00,1617689100000,58764.86,2021-04-06 06:05:00,0.0,1.0,1.0,Nuetral,Nuetral
2021-04-06 06:10:00,1617689400000,58755.97,2021-04-06 06:10:00,0.0,2.0,1.0,Nuetral,Nuetral
2021-04-06 06:15:00,1617689700000,58668.97,2021-04-06 06:15:00,0.0,2.0,0.0,Nuetral,Nuetral
2021-04-06 06:20:00,1617690000000,58675.61,2021-04-06 06:20:00,0.0,3.0,2.0,Nuetral,Nuetral
2021-04-06 06:25:00,1617690300000,58772.16,2021-04-06 06:25:00,1.0,2.0,1.0,Nuetral,Nuetral
2021-04-06 06:30:00,1617690600000,58894.0,2021-04-06 06:30:00,0.0,3.0,0.0,Nuetral,Nuetral
2021-04-06 06:35:00,1617690900000,58909.51,2021-04-06 06:35:00,1.0,3.0,1.0,Nuetral,Nuetral
2021-04-06 06:40:00,1617691200000,58916.73,2021-04-06 06:40:00,0.0,1.0,2.0,Positive,Positive
2021-04-06 06:45:00,1617691500000,58926.65,2021-04-06 06:45:00,1.0,2.0,1.0,Nuetral,Nuetral
2021-04-06 06:50:00,1617691800000,58837.42,2021-04-06 06:50:00,0.0,1.0,3.0,Positive,Positive
